TEXTURE AT STRAIN =    0.2000
   1.275   1.386   0.548  <-- length of phase ellipsoid axes
  122.36    0.75    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
  129.55   66.55 -128.51   0.0003500
