TEXTURE AT STRAIN =    1.0000
   2.314   2.858   0.141  <-- length of phase ellipsoid axes
  -15.17   32.58   87.97  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
  110.00   21.05 -102.47   0.0003500
