TEXTURE AT STRAIN =    0.8000
   1.323   1.420   0.527  <-- length of phase ellipsoid axes
  127.63    1.70 -101.95  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
  121.12   94.67 -144.43   0.0016500
