TEXTURE AT STRAIN =    0.1500
   1.194   1.290   0.633  <-- length of phase ellipsoid axes
   -8.94    1.07  -24.16  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
  147.32   75.00 -150.50   0.0003500
