TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   91.41   62.55   60.95  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
  129.79   97.46 -104.82   0.0016500
