TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   50.14   78.80  -19.32  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
  167.14   50.00 -167.14   0.0003500
