  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   4.000   0.000   0.108   0.026   0.312   0.009   0.054
   0.025   4.000   0.000   0.103   0.025   0.304   0.008   0.058
   0.050   5.000   0.000   0.098   0.025   0.297   0.008   0.063
   0.075   5.000   0.000   0.094   0.024   0.290   0.007   0.068
   0.100   6.000   0.000   0.091   0.024   0.283   0.007   0.073
   0.125   6.000   0.000   0.089   0.023   0.277   0.007   0.078
   0.150   6.000   0.000   0.087   0.023   0.272   0.007   0.083
   0.175   6.000   0.000   0.085   0.024   0.268   0.006   0.088
   0.200   6.000   0.000   0.084   0.024   0.265   0.006   0.093
   0.225   6.000   0.000   0.083   0.024   0.262   0.006   0.099
   0.250   7.000   0.000   0.083   0.025   0.260   0.006   0.105
   0.275   7.000   0.000   0.083   0.025   0.259   0.006   0.111
   0.300   7.000   0.000   0.083   0.026   0.259   0.006   0.118
   0.325   7.000   0.000   0.083   0.026   0.259   0.007   0.125
   0.350   7.000   0.000   0.083   0.027   0.259   0.007   0.132
   0.375   8.000   0.000   0.084   0.027   0.260   0.007   0.140
   0.400   8.000   0.000   0.084   0.027   0.261   0.007   0.148
   0.425   8.000   0.000   0.084   0.027   0.262   0.007   0.156
   0.450   8.000   0.000   0.084   0.027   0.263   0.007   0.164
   0.475   8.000   0.000   0.084   0.027   0.265   0.007   0.172
   0.500   8.000   0.000   0.084   0.027   0.266   0.007   0.181
   0.525   8.000   0.000   0.084   0.027   0.267   0.007   0.189
   0.550   8.000   0.000   0.083   0.026   0.268   0.007   0.198
   0.575   8.000   0.000   0.083   0.026   0.269   0.007   0.206
   0.600   8.000   0.000   0.083   0.025   0.270   0.007   0.215
   0.625   8.000   0.000   0.082   0.024   0.271   0.007   0.223
   0.650   9.000   0.000   0.082   0.024   0.272   0.007   0.231
   0.675   9.000   0.000   0.081   0.023   0.272   0.007   0.239
   0.700   9.000   0.000   0.081   0.022   0.272   0.008   0.246
   0.725   9.000   0.000   0.080   0.021   0.273   0.008   0.254
   0.750   9.000   0.000   0.079   0.021   0.273   0.008   0.261
   0.775   9.000   0.000   0.079   0.020   0.273   0.008   0.268
   0.800   9.000   0.000   0.078   0.019   0.273   0.008   0.274
   0.825   9.000   0.000   0.077   0.018   0.272   0.008   0.280
   0.850   9.000   0.000   0.077   0.018   0.272   0.008   0.286
   0.875   9.000   0.000   0.076   0.017   0.272   0.008   0.292
   0.900   9.000   0.000   0.076   0.016   0.272   0.008   0.298
   0.925   9.000   0.000   0.075   0.016   0.271   0.008   0.303
   0.950   9.000   0.000   0.074   0.015   0.269   0.009   0.305
   0.975   9.000   0.000   0.074   0.014   0.268   0.009   0.308
   1.000   9.000   0.000   0.073   0.014   0.266   0.009   0.310
