TEXTURE AT STRAIN =    0.9500
   1.422   1.428   0.477  <-- length of phase ellipsoid axes
   72.35    1.59 -113.04  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
  113.65  138.17 -118.03   0.0016500
