TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -162.06   88.23 -150.78  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
  105.00   59.99 -105.00   0.0003500
