TEXTURE AT STRAIN =    0.6000
   1.197   1.242   0.669  <-- length of phase ellipsoid axes
    7.01    3.02  -23.52  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
  168.29   35.47 -102.78   0.0016500
