TEXTURE AT STRAIN =    0.3500
   1.523   1.562   0.403  <-- length of phase ellipsoid axes
  146.46    5.06 -178.33  <-- Euler angles (deg) of phase ellipsoid axes
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
  137.13   13.00 -133.28   0.0003500
