TEXTURE AT STRAIN =    1.0000
   2.166   3.295   0.129  <-- length of phase ellipsoid axes
   96.53    5.59 -139.50  <-- Euler angles (deg) of phase ellipsoid axes
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
  103.48    5.04 -103.01   0.0003500
