  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.127   0.126   0.252
   0.025  24.000   0.129   0.127   0.255
   0.050  21.000   0.129   0.128   0.257
   0.075  22.000   0.128   0.128   0.257
   0.100  24.000   0.126   0.127   0.254
   0.125  22.000   0.124   0.126   0.250
   0.150  23.000   0.121   0.123   0.245
   0.175  26.000   0.119   0.120   0.240
   0.200  25.000   0.116   0.117   0.234
   0.225  26.000   0.113   0.115   0.229
   0.250  26.000   0.110   0.112   0.223
   0.275  26.000   0.107   0.110   0.218
   0.300  25.000   0.103   0.108   0.213
   0.325  27.000   0.100   0.105   0.207
   0.350  27.000   0.097   0.102   0.201
   0.375  27.000   0.094   0.099   0.196
   0.400  27.000   0.091   0.097   0.190
   0.425  27.000   0.088   0.094   0.184
   0.450  27.000   0.085   0.091   0.179
   0.475  26.000   0.083   0.089   0.174
   0.500  26.000   0.080   0.086   0.169
   0.525  27.000   0.078   0.084   0.164
   0.550  27.000   0.076   0.082   0.160
   0.575  27.000   0.074   0.080   0.156
   0.600  27.000   0.072   0.078   0.152
   0.625  27.000   0.070   0.076   0.149
   0.650  27.000   0.069   0.074   0.145
   0.675  27.000   0.067   0.073   0.142
   0.700  27.000   0.066   0.071   0.139
   0.725  27.000   0.065   0.070   0.137
   0.750  28.000   0.064   0.069   0.134
   0.775  28.000   0.062   0.067   0.132
   0.800  28.000   0.061   0.066   0.130
   0.825  28.000   0.060   0.065   0.128
   0.850  28.000   0.060   0.064   0.126
   0.875  28.000   0.059   0.063   0.124
   0.900  28.000   0.058   0.062   0.122
   0.925  28.000   0.058   0.062   0.122
   0.950  28.000   0.058   0.062   0.122
   0.975  28.000   0.058   0.062   0.122
   1.000  28.000   0.058   0.062   0.122
