TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  132.93  123.13  -13.10  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
  156.00   70.71 -156.00   0.0003500
