TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  110.00   16.87 -102.16  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
  110.00   33.75 -110.00   0.0003500
