TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -163.43   85.65  112.10  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
   96.00   45.00  -96.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.049   1.086   0.872  <-- length of phase ellipsoid axes
 -157.06    4.44  179.81  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
   95.28   44.88  -95.76   0.0003500
