TEXTURE AT STRAIN =    0.8000
   1.304   1.356   0.561  <-- length of phase ellipsoid axes
   -9.97    0.83    7.79  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
 -179.73   27.72 -101.27   0.0016500
