TEXTURE AT STRAIN =    0.5500
   1.945   2.108   0.227  <-- length of phase ellipsoid axes
  -48.77    1.00 -177.49  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
  136.18   54.05 -135.76   0.0003500
