TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  -84.08   39.87   -1.81  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
  173.39   40.89 -109.62   0.0016500
