TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   72.13  106.95 -134.84  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
  141.43   80.00 -141.43   0.0003500
