  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.100   0.104   0.206
   0.025  23.000   0.103   0.106   0.210
   0.050  23.000   0.104   0.109   0.215
   0.075  25.000   0.106   0.111   0.220
   0.100  25.000   0.106   0.113   0.222
   0.125  25.000   0.106   0.114   0.223
   0.150  25.000   0.105   0.114   0.223
   0.175  25.000   0.104   0.113   0.221
   0.200  27.000   0.103   0.111   0.217
   0.225  27.000   0.101   0.109   0.213
   0.250  27.000   0.098   0.107   0.209
   0.275  27.000   0.096   0.104   0.204
   0.300  27.000   0.093   0.101   0.198
   0.325  28.000   0.091   0.099   0.193
   0.350  28.000   0.088   0.096   0.187
   0.375  28.000   0.086   0.093   0.182
   0.400  28.000   0.083   0.091   0.177
   0.425  29.000   0.081   0.088   0.172
   0.450  29.000   0.079   0.086   0.167
   0.475  29.000   0.076   0.083   0.163
   0.500  29.000   0.074   0.081   0.158
   0.525  29.000   0.073   0.079   0.154
   0.550  29.000   0.071   0.077   0.150
   0.575  29.000   0.069   0.075   0.147
   0.600  30.000   0.068   0.073   0.143
   0.625  30.000   0.066   0.072   0.140
   0.650  30.000   0.065   0.070   0.137
   0.675  30.000   0.064   0.069   0.135
   0.700  30.000   0.062   0.068   0.132
   0.725  30.000   0.061   0.066   0.130
   0.750  30.000   0.060   0.065   0.128
   0.775  30.000   0.059   0.064   0.126
   0.800  29.000   0.058   0.063   0.124
   0.825  29.000   0.058   0.062   0.122
   0.850  29.000   0.057   0.061   0.120
   0.875  29.000   0.056   0.061   0.119
   0.900  29.000   0.055   0.060   0.117
   0.925  28.000   0.055   0.059   0.116
   0.950  28.000   0.054   0.058   0.114
   0.975  28.000   0.053   0.058   0.113
   1.000  28.000   0.053   0.058   0.113
