TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  110.54  122.11    1.35  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
  108.00   64.28 -108.00   0.0003500
