TEXTURE AT STRAIN =    1.0000
   2.083   3.333   0.133  <-- length of phase ellipsoid axes
   97.95   18.55 -136.36  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
  101.67   17.15 -100.32   0.0003500
