TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -153.21  128.24   95.47  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
  114.47  116.27 -110.62   0.0016500
