TEXTURE AT STRAIN =    0.3500
   1.105   1.153   0.782  <-- length of phase ellipsoid axes
   -2.59    2.61   57.36  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
  146.44   79.59 -103.25   0.0016500
