  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.131   0.134   0.267
   0.025  20.000   0.133   0.137   0.271
   0.050  21.000   0.134   0.140   0.276
   0.075  21.000   0.134   0.143   0.280
   0.100  20.000   0.134   0.145   0.283
   0.125  20.000   0.134   0.146   0.285
   0.150  20.000   0.134   0.146   0.285
   0.175  21.000   0.134   0.145   0.284
   0.200  21.000   0.132   0.144   0.281
   0.225  21.000   0.131   0.142   0.278
   0.250  21.000   0.129   0.140   0.273
   0.275  21.000   0.126   0.137   0.268
   0.300  21.000   0.123   0.134   0.263
   0.325  21.000   0.120   0.131   0.256
   0.350  21.000   0.118   0.128   0.250
   0.375  21.000   0.114   0.125   0.244
   0.400  21.000   0.111   0.122   0.237
   0.425  21.000   0.108   0.118   0.231
   0.450  21.000   0.106   0.115   0.225
   0.475  21.000   0.103   0.112   0.219
   0.500  21.000   0.100   0.109   0.213
   0.525  21.000   0.098   0.106   0.208
   0.550  21.000   0.095   0.104   0.203
   0.575  21.000   0.093   0.102   0.198
   0.600  21.000   0.091   0.099   0.194
   0.625  21.000   0.089   0.097   0.190
   0.650  21.000   0.087   0.095   0.186
   0.675  21.000   0.086   0.093   0.182
   0.700  21.000   0.084   0.092   0.179
   0.725  21.000   0.083   0.090   0.176
   0.750  21.000   0.081   0.089   0.173
   0.775  21.000   0.080   0.087   0.170
   0.800  21.000   0.079   0.086   0.168
   0.825  21.000   0.078   0.085   0.165
   0.850  21.000   0.077   0.084   0.163
   0.875  21.000   0.076   0.083   0.161
   0.900  21.000   0.075   0.082   0.159
   0.925  21.000   0.074   0.081   0.158
   0.950  21.000   0.073   0.080   0.156
   0.975  21.000   0.073   0.080   0.156
   1.000  21.000   0.073   0.080   0.156
