TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  120.58   34.46  -66.84  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
  121.76   70.00 -121.76   0.0003500
