TEXTURE AT STRAIN =    0.9500
   1.349   1.404   0.482  <-- length of phase ellipsoid axes
   72.51    2.09   -5.58  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
   77.88  151.59 -120.28   0.0016500
