TEXTURE AT STRAIN =    0.3500
   1.113   1.121   0.796  <-- length of phase ellipsoid axes
   55.84    1.01   64.16  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
  109.51  129.87 -110.27   0.0016500
