TEXTURE AT STRAIN =    0.3000
   1.453   1.668   0.391  <-- length of phase ellipsoid axes
 -114.43    1.59   90.26  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
  162.08   89.47 -177.99   0.0003500
