TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  136.11  133.85  101.31  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
