TEXTURE AT STRAIN =    0.1000
   1.135   1.174   0.739  <-- length of phase ellipsoid axes
  -34.80    1.78   -2.63  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
  141.88   67.05 -141.99   0.0003500
