TEXTURE AT STRAIN =    0.2000
   1.267   1.431   0.532  <-- length of phase ellipsoid axes
  -29.88    0.23    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
  155.84   88.52 -164.57   0.0003500
