TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -144.09  116.62  127.72  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
  156.00   89.99 -156.00   0.0003500
