TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  119.56   99.65    2.32  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
  105.00   20.00 -105.00   0.0003500
