TEXTURE AT STRAIN =    0.7000
   1.968   2.577   0.182  <-- length of phase ellipsoid axes
  163.05    1.28  152.71  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
  147.44    3.09 -146.52   0.0003500
