TEXTURE AT STRAIN =    1.0000
   2.222   3.255   0.127  <-- length of phase ellipsoid axes
  136.65   11.55 -178.80  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
  140.40   11.50 -140.13   0.0003500
