TEXTURE AT STRAIN =    1.0000
   2.244   3.261   0.125  <-- length of phase ellipsoid axes
  139.64   14.92  178.35  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
  142.93   14.21 -143.18   0.0003500
