TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -146.54  103.90 -174.59  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
  150.00   59.99 -150.00   0.0003500
