TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -174.05  127.26  125.93  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
   50.00  175.00 -125.00   0.0016500
TEXTURE AT STRAIN =    0.0500
   1.011   1.017   0.971  <-- length of phase ellipsoid axes
   47.46    0.31    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
   49.25  174.58 -125.76   0.0016500
