  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   5.000   0.062   0.326   0.000   0.000   0.000   0.000   0.189
   0.025   5.000   0.055   0.330   0.000   0.000   0.000   0.000   0.193
   0.050   5.000   0.048   0.333   0.000   0.000   0.000   0.000   0.199
   0.075   5.000   0.042   0.337   0.000   0.000   0.000   0.000   0.206
   0.100   5.000   0.036   0.339   0.000   0.000   0.000   0.000   0.212
   0.125   5.000   0.030   0.340   0.000   0.000   0.000   0.000   0.216
   0.150   5.000   0.025   0.341   0.000   0.000   0.000   0.000   0.219
   0.175   5.000   0.020   0.342   0.000   0.000   0.000   0.000   0.222
   0.200   4.000   0.016   0.344   0.000   0.000   0.000   0.000   0.226
   0.225   4.000   0.012   0.347   0.000   0.000   0.000   0.000   0.230
   0.250   5.000   0.009   0.350   0.000   0.000   0.000   0.000   0.236
   0.275   6.000   0.007   0.353   0.000   0.000   0.000   0.000   0.241
   0.300   6.000   0.005   0.356   0.000   0.000   0.000   0.000   0.248
   0.325   7.000   0.003   0.359   0.000   0.000   0.000   0.000   0.255
   0.350   7.000   0.002   0.361   0.000   0.000   0.000   0.000   0.261
   0.375   7.000   0.001   0.363   0.001   0.000   0.000   0.000   0.268
   0.400   7.000   0.001   0.364   0.001   0.000   0.000   0.000   0.275
   0.425   7.000   0.000   0.365   0.002   0.000   0.000   0.000   0.281
   0.450   7.000   0.000   0.364   0.004   0.000   0.000   0.000   0.286
   0.475   7.000   0.000   0.363   0.006   0.000   0.000   0.000   0.291
   0.500   7.000   0.000   0.361   0.009   0.000   0.000   0.000   0.296
   0.525   7.000   0.000   0.358   0.012   0.000   0.000   0.000   0.299
   0.550   7.000   0.000   0.354   0.016   0.000   0.000   0.000   0.303
   0.575   8.000   0.000   0.349   0.021   0.000   0.000   0.000   0.306
   0.600   8.000   0.000   0.344   0.026   0.000   0.000   0.000   0.308
   0.625   9.000   0.000   0.338   0.031   0.000   0.000   0.000   0.310
   0.650   9.000   0.000   0.332   0.037   0.000   0.000   0.000   0.312
   0.675   9.000   0.000   0.326   0.043   0.000   0.000   0.000   0.314
   0.700   8.000   0.000   0.320   0.048   0.000   0.000   0.000   0.316
   0.725   9.000   0.000   0.314   0.054   0.000   0.000   0.000   0.318
   0.750   9.000   0.000   0.307   0.060   0.000   0.000   0.000   0.319
   0.775   9.000   0.000   0.301   0.066   0.000   0.000   0.000   0.321
   0.800   9.000   0.000   0.295   0.072   0.000   0.000   0.000   0.322
   0.825   9.000   0.000   0.289   0.077   0.000   0.000   0.000   0.324
   0.850   9.000   0.000   0.284   0.083   0.000   0.000   0.000   0.326
   0.875   9.000   0.000   0.278   0.088   0.000   0.000   0.000   0.327
   0.900   9.000   0.000   0.273   0.093   0.000   0.000   0.000   0.329
   0.925   9.000   0.000   0.268   0.098   0.000   0.000   0.000   0.331
   0.950   9.000   0.000   0.264   0.103   0.000   0.000   0.000   0.332
   0.975   9.000   0.000   0.259   0.108   0.000   0.000   0.000   0.334
   1.000   9.000   0.000   0.256   0.112   0.000   0.000   0.000   0.335
