  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.129   0.129   0.258
   0.025  22.000   0.130   0.130   0.260
   0.050  22.000   0.130   0.131   0.261
   0.075  23.000   0.130   0.132   0.263
   0.100  23.000   0.130   0.132   0.263
   0.125  22.000   0.129   0.133   0.263
   0.150  21.000   0.128   0.133   0.262
   0.175  21.000   0.127   0.132   0.261
   0.200  21.000   0.125   0.132   0.260
   0.225  21.000   0.123   0.131   0.257
   0.250  21.000   0.122   0.130   0.255
   0.275  21.000   0.120   0.128   0.251
   0.300  23.000   0.118   0.127   0.248
   0.325  23.000   0.116   0.125   0.244
   0.350  23.000   0.114   0.123   0.240
   0.375  23.000   0.111   0.121   0.236
   0.400  23.000   0.109   0.119   0.232
   0.425  21.000   0.107   0.117   0.228
   0.450  21.000   0.105   0.114   0.223
   0.475  21.000   0.103   0.112   0.219
   0.500  21.000   0.101   0.110   0.215
   0.525  21.000   0.099   0.108   0.211
   0.550  21.000   0.097   0.106   0.207
   0.575  21.000   0.095   0.104   0.203
   0.600  21.000   0.094   0.102   0.199
   0.625  21.000   0.092   0.100   0.196
   0.650  21.000   0.090   0.098   0.192
   0.675  21.000   0.089   0.097   0.189
   0.700  21.000   0.087   0.095   0.186
   0.725  21.000   0.086   0.094   0.183
   0.750  21.000   0.085   0.092   0.180
   0.775  21.000   0.083   0.091   0.177
   0.800  21.000   0.082   0.089   0.175
   0.825  21.000   0.081   0.088   0.172
   0.850  21.000   0.080   0.087   0.170
   0.875  21.000   0.079   0.086   0.168
   0.900  21.000   0.078   0.085   0.166
   0.925  21.000   0.077   0.084   0.164
   0.950  21.000   0.076   0.083   0.162
   0.975  21.000   0.075   0.082   0.160
   1.000  21.000   0.074   0.081   0.158
