TEXTURE AT STRAIN =    0.3000
   1.098   1.110   0.818  <-- length of phase ellipsoid axes
    2.08    0.57    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
  113.19  124.64 -103.05   0.0016500
