TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  169.30  109.84  128.79  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
  105.00   89.99 -105.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.053   1.094   0.861  <-- length of phase ellipsoid axes
  -13.72    2.11  117.21  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
  105.00   90.12 -102.23   0.0003500
