TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  169.30   70.16   51.21  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
 -165.02   30.00 -124.98   0.0016500
TEXTURE AT STRAIN =    0.0500
   1.011   1.019   0.970  <-- length of phase ellipsoid axes
   50.90    2.04  -34.03  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
 -165.46   29.89 -124.62   0.0016500
