TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   90.00   90.00  -45.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
  102.55  133.58 -107.10   0.0016500
