TEXTURE AT STRAIN =    0.8500
   2.051   2.682   0.170  <-- length of phase ellipsoid axes
 -175.50    0.95 -127.70  <-- Euler angles (deg) of phase ellipsoid axes
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
  139.28   48.58 -137.11   0.0003500
