TEXTURE AT STRAIN =    0.1000
   1.106   1.170   0.763  <-- length of phase ellipsoid axes
  133.54    5.87 -142.29  <-- Euler angles (deg) of phase ellipsoid axes
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
  108.27   27.27 -107.36   0.0003500
