  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  17.000   0.115   0.120   0.237
   0.025  19.000   0.120   0.125   0.246
   0.050  19.000   0.124   0.129   0.255
   0.075  20.000   0.126   0.132   0.261
   0.100  21.000   0.128   0.135   0.266
   0.125  21.000   0.129   0.136   0.268
   0.150  21.000   0.129   0.137   0.269
   0.175  21.000   0.128   0.137   0.269
   0.200  22.000   0.127   0.136   0.267
   0.225  22.000   0.126   0.135   0.265
   0.250  23.000   0.124   0.134   0.261
   0.275  23.000   0.122   0.132   0.258
   0.300  23.000   0.120   0.130   0.253
   0.325  23.000   0.117   0.127   0.249
   0.350  21.000   0.115   0.125   0.244
   0.375  21.000   0.112   0.122   0.239
   0.400  21.000   0.110   0.119   0.233
   0.425  21.000   0.107   0.117   0.228
   0.450  21.000   0.105   0.114   0.223
   0.475  21.000   0.102   0.112   0.218
   0.500  21.000   0.100   0.109   0.213
   0.525  21.000   0.098   0.107   0.209
   0.550  21.000   0.096   0.105   0.204
   0.575  21.000   0.094   0.102   0.200
   0.600  21.000   0.092   0.100   0.196
   0.625  21.000   0.090   0.099   0.192
   0.650  21.000   0.089   0.097   0.189
   0.675  21.000   0.087   0.095   0.186
   0.700  21.000   0.086   0.093   0.182
   0.725  21.000   0.084   0.092   0.180
   0.750  21.000   0.083   0.091   0.177
   0.775  21.000   0.082   0.089   0.174
   0.800  21.000   0.081   0.088   0.172
   0.825  21.000   0.080   0.087   0.169
   0.850  21.000   0.079   0.086   0.167
   0.875  21.000   0.078   0.084   0.165
   0.900  21.000   0.077   0.083   0.163
   0.925  21.000   0.076   0.083   0.161
   0.950  21.000   0.075   0.082   0.159
   0.975  21.000   0.074   0.081   0.158
   1.000  21.000   0.074   0.080   0.156
