TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -158.72  101.94 -171.65  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
  165.00   30.00 -165.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.042   1.085   0.879  <-- length of phase ellipsoid axes
   76.36    6.04   27.44  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
  164.63   28.90 -165.18   0.0003500
