TEXTURE AT STRAIN =    0.5000
   1.613   2.128   0.274  <-- length of phase ellipsoid axes
  -80.69    3.37  139.37  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
  116.07   50.28 -135.06   0.0003500
