  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.127   0.127   0.255
   0.025  24.000   0.128   0.128   0.256
   0.050  23.000   0.127   0.128   0.255
   0.075  22.000   0.125   0.127   0.253
   0.100  19.000   0.124   0.127   0.252
   0.125  21.000   0.123   0.128   0.254
   0.150  21.000   0.123   0.130   0.256
   0.175  20.000   0.123   0.131   0.257
   0.200  21.000   0.122   0.132   0.258
   0.225  20.000   0.121   0.131   0.256
   0.250  20.000   0.120   0.130   0.254
   0.275  21.000   0.118   0.128   0.251
   0.300  21.000   0.116   0.126   0.246
   0.325  21.000   0.114   0.124   0.242
   0.350  21.000   0.111   0.121   0.237
   0.375  21.000   0.109   0.119   0.231
   0.400  21.000   0.106   0.116   0.226
   0.425  21.000   0.104   0.113   0.221
   0.450  22.000   0.102   0.111   0.216
   0.475  22.000   0.100   0.108   0.211
   0.500  22.000   0.097   0.106   0.206
   0.525  21.000   0.095   0.103   0.202
   0.550  22.000   0.093   0.101   0.197
   0.575  22.000   0.091   0.099   0.193
   0.600  22.000   0.089   0.096   0.189
   0.625  22.000   0.088   0.094   0.185
   0.650  22.000   0.086   0.092   0.181
   0.675  21.000   0.084   0.091   0.178
   0.700  21.000   0.083   0.089   0.174
   0.725  21.000   0.082   0.087   0.171
   0.750  21.000   0.080   0.086   0.168
   0.775  21.000   0.079   0.084   0.165
   0.800  21.000   0.078   0.083   0.163
   0.825  21.000   0.076   0.082   0.160
   0.850  22.000   0.075   0.080   0.158
   0.875  23.000   0.074   0.079   0.155
   0.900  23.000   0.072   0.078   0.152
   0.925  23.000   0.071   0.077   0.150
   0.950  21.000   0.070   0.075   0.148
   0.975  21.000   0.068   0.074   0.145
   1.000  21.000   0.068   0.074   0.144
