TEXTURE AT STRAIN =    1.0000
   2.622   3.011   0.116  <-- length of phase ellipsoid axes
  -53.72    0.98   55.95  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
  141.63   52.21 -136.01   0.0003500
