TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -129.48  124.13  113.23  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
  107.87  123.17 -113.03   0.0016500
