TEXTURE AT STRAIN =    0.1000
   1.031   1.032   0.939  <-- length of phase ellipsoid axes
   27.52    0.82  107.26  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
  107.93  125.49 -112.29   0.0016500
