TEXTURE AT STRAIN =    1.0000
   2.235   3.159   0.131  <-- length of phase ellipsoid axes
 -166.68   19.75  -60.36  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
  179.43   14.49 -179.15   0.0003500
