TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -169.01   90.85  125.09  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
  101.61   60.00 -101.61   0.0003500
