TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  102.91  101.62   58.41  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
  174.71   70.00 -174.71   0.0003500
