  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.124   0.134   0.262
   0.025  23.000   0.126   0.136   0.267
   0.050  23.000   0.128   0.138   0.271
   0.075  23.000   0.129   0.140   0.273
   0.100  23.000   0.130   0.141   0.275
   0.125  23.000   0.130   0.141   0.276
   0.150  23.000   0.130   0.141   0.275
   0.175  23.000   0.129   0.140   0.274
   0.200  22.000   0.128   0.139   0.272
   0.225  22.000   0.127   0.138   0.269
   0.250  21.000   0.125   0.136   0.265
   0.275  21.000   0.123   0.134   0.261
   0.300  21.000   0.121   0.131   0.256
   0.325  21.000   0.118   0.129   0.251
   0.350  21.000   0.116   0.126   0.246
   0.375  21.000   0.113   0.123   0.241
   0.400  21.000   0.110   0.120   0.235
   0.425  21.000   0.108   0.118   0.230
   0.450  21.000   0.105   0.115   0.224
   0.475  21.000   0.103   0.112   0.219
   0.500  21.000   0.100   0.110   0.214
   0.525  21.000   0.098   0.107   0.209
   0.550  21.000   0.096   0.105   0.204
   0.575  21.000   0.094   0.102   0.200
   0.600  21.000   0.092   0.100   0.195
   0.625  21.000   0.090   0.098   0.191
   0.650  21.000   0.088   0.096   0.187
   0.675  21.000   0.086   0.094   0.184
   0.700  21.000   0.085   0.092   0.180
   0.725  21.000   0.083   0.091   0.177
   0.750  21.000   0.082   0.089   0.174
   0.775  21.000   0.080   0.088   0.171
   0.800  21.000   0.079   0.086   0.168
   0.825  21.000   0.078   0.085   0.166
   0.850  21.000   0.077   0.084   0.164
   0.875  21.000   0.076   0.083   0.161
   0.900  21.000   0.075   0.081   0.159
   0.925  23.000   0.074   0.080   0.157
   0.950  23.000   0.073   0.079   0.155
   0.975  23.000   0.073   0.079   0.155
   1.000  23.000   0.073   0.079   0.155
