TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  131.61   95.59    3.17  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
  102.00   12.86 -102.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.043   1.100   0.865  <-- length of phase ellipsoid axes
 -173.88    1.01  129.52  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
   92.70    9.56  -92.58   0.0003500
