TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  -45.62   40.45  101.69  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
  150.00   89.99 -150.00   0.0003500
