TEXTURE AT STRAIN =    0.9500
   1.397   1.524   0.464  <-- length of phase ellipsoid axes
   44.07    1.09   -2.91  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
  131.01   90.56 -100.96   0.0016500
