TEXTURE AT STRAIN =    1.0000
   2.499   2.790   0.133  <-- length of phase ellipsoid axes
   70.55   89.07   70.55  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
  148.35    3.58 -165.05   0.0003500
