TEXTURE AT STRAIN =    0.8000
   1.960   2.621   0.182  <-- length of phase ellipsoid axes
   57.47    0.74    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
  138.39   48.40 -136.85   0.0003500
